许可经营业务,发证机关,状态,营业许可证号,英文名称,经营场所,许可文号,法人,出资人,行政区划代码,旅行社名称,统一社会信用代码,办理时间
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31236,"hangzhou qiandao lake shizhong travel service group co.,ltd.",浙江省杭州市淳安县千岛湖镇新安大街99-3号青豆公寓213室,浙旅许可(2020)115号,章锐,"章锐,余露",330000,杭州千岛湖世中旅游服务有限公司,91330127MA2HY3L977,2020-07-27
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ00378,"suichang tourist center co., ltd.",浙江省丽水市遂昌县妙高街道古院村吴突头,浙旅许可(2009)378号,蓝雅琴,浙江遂昌旅游发展股份有限公司,330000,遂昌县旅游集散中心有限公司,91331123692382221P,2016-12-29
国内旅游业务,浙江省旅游局,有效,L-ZJ30768,"Yuan Xiang Travel Agency Co.,Ltd.",浙江省湖州市吴兴区妙西镇肇村村原乡小镇景区游客中心,浙旅许可(2018)149号,袁世杰,袁世杰,330000,湖州原乡假日旅行社有限公司,91330502MA2B41K02Y,2018-06-25
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31178,taizhou letu travel  agency,浙江省台州市椒江区葭沚街道台州大道8号2幢211室,浙旅许可（2020）57号,应云丹,"应云丹,谢金莲",330000,台州乐途旅行社有限公司,91331002MA2HE7A48D,2020-04-22
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31444,"quzhou qujiang kangzhuo travel service co,ltd",浙江省衢州市衢江区东方广场10幢301室,浙旅许可(2021)128号,万方惠,衢州市衢江区健康产业投资集团有限公司,330000,衢州市衢江区康卓旅游服务有限公司,91330803MA2DL3MQ83,2021-08-02
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30951,jinhua xiakexing travel service,金华市婺城区城中街道桂林街139号2-402室,浙旅许可(2019)61号,翁利军,"翁利军,卢旭耀",330000,金华霞客行旅行社有限责任公司,91330702MA2E7EFU05,2019-03-21
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ00564,"hangzhou linan jiangnan zhilv  international travel agency co.,ltd.",浙江省杭州市临安区锦城街道锦溪公寓2（2幢108-208）(自主申报）,浙旅许可(2009)564号,赵娜,"赵娜,赵章立",330000,杭州临安江南之旅国际旅行社有限公司,91330185790929120Y,2015-11-18
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31064,"zhoushan meiyue travel agency co., ltd.",舟山市普陀区朱家尖街道香荷小区44号,浙旅许可(2019)174号,刘彩敏,"刘彩敏,于萍利,余平艳,刘海林",330000,舟山美悦旅行社有限公司,91330901MA2A3KG534,2019-10-11
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01298,暂无,武义县武阳东路69号,浙旅许可(2009)1296号,朱梅女,"祝庆军,浙江龙嘉控股集团有限公司",330000,武义龙嘉旅行社有限公司,91330723686663502J,2009-10-09
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30792,JiaXing PureTravel Company,浙江省嘉兴市平湖市当湖街道城南西路213号,浙旅许可(2018)173号,许澄,许澄,330000,嘉兴市星程假期旅行社有限公司,91330482MA2BA4KY1M,2018-07-17
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02102,暂无,金华市人民西路238号广电中心816室,浙旅许可(2012)157号,杨洁,金华广播电视集团有限公司 ,330000,金华广电旅游有限公司,91330700063165806C,2013-02-25
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00317,暂无,北仑新矸新大路755号1幢511、512室,浙旅许可(2009)317号,沈芒之,王坚厅/沈芒之,330000,宁波年代旅行社有限公司,91330206668491620J,2010-07-01
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01398,暂无,宁波市启运路362号,浙旅许可(2009)1376号,周锡君,周华君/宁波市中北汽车客运有限公司,330000,宁波中北旅游有限公司,913302127342793548,2013-06-18
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32122,"zhejiang xinyue international travel agency co., ltd",浙江省嘉兴市南湖区新兴街道文秀里14号办公楼311室,浙旅许可(2023)398号,郑君梅,郑君梅,330000,浙江馨悦国际旅行社有限公司,91330402MACU4UM42C,2023-10-27
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30324,"Hangzhou I U Travel? Agency Co., Ltd.","杭州市西湖区三墩镇灯彩街567号6幢2201,2202室",浙旅许可(2016)122号,卢密密,卢密密/林周女,330000,杭州艾游旅行社有限公司,9133010635247535XD,2016-08-12
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00874,暂无,中山东路369号B座512室,浙旅许可(2009)874号,林真会,林真会/蔡潜力,330000,宁波南苑假期旅游有限公司,9133020473015217XC,2012-09-07
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01017,dsxd,浙江省舟山市岱山县高亭镇人民路386号807室（自主申报）,浙旅许可(2009)1017号,胡德,胡德,330000,岱山县欣达旅行社,9133092173920196XW,2016-10-28
国内旅游业务,浙江省旅游局,有效,L-ZJ30780,"LanXi ShangYou Staff Recreation and Rehabilitation Service Co.,LTD",浙江省金华市兰溪市兰江街道振兴路500号企业服务中心辅楼11层1113号,浙旅许可(2018)161号,何瑜,何瑜,330000,兰溪尚游职工疗休养服务有限公司,91330781MA29M95J0U,2018-07-09
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30067,"pujiang astronomical international tourism co., ltd",浙江省金华市浦江县浦阳街道文宣东路8号（自主申报）,浙旅许可（2015）53号,张金刚,叶青,330000,浦江县天象国际旅游有限公司,91330726329882504M,1900-01-01
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ02100,"xiang cheng  internatonnal travel  service  co.,ltd.",浙江省温州市瑞安市塘下镇赵宅村塘川北街182号,浙旅许可(2012)155号,虞巧林,"虞巧林,赵丽华",330000,瑞安市祥程国际旅行社有限公司,913303810542189539,2012-09-06
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32075,"zhejiang zhoushan dongda culture and tourism development co.,ltd.",中国（浙江）自由贸易试验区舟山市普陀区东港街道麒麟街233号8楼,浙旅许可(2023)350号,张豫立,东港投资发展集团有限公司,330000,浙江舟山东大文化旅游发展有限公司,91330903661712195B,2023-09-15
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01244,暂无,金华市东阳街以东，李渔路以北10幢02,浙旅许可(2009)1242号,沈中华,沈中华,330000,金华光大旅行社有限公司,9133070169387907XW,2014-06-19
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30369,taizhou prefecture travel agency co. ltd.,浙江省台州市临海市古城街道巾山西路49号,浙旅许可(2016)167号,郑家军,临海市旅游发展有限公司,330000,台州府城旅行社有限公司,91331082MA28GTNN9L,2016-12-02
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ00291,"hangzhou royal travel service co.,ltd.",浙江省杭州市上城区凤起东路358号五福天星龙大厦b座2204室,浙旅许可(2009)291号,章哲海,"章哲海,林克,伍传暄",330000,杭州瑞银旅业有限公司,913301047654880606,2016-12-30
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31205,"anji haoqi travel agency co.,ltd",浙江省湖州市安吉县递铺街道阳光工业园区（安吉科技创业园有限公司）孵化大楼13楼1310室,浙旅许可(2020)84号,张虹,"湖州浩琦信息技术有限公司,成斌,张虹",330000,安吉浩琦旅行社有限公司,91330523MA2D3XJ50D,2020-12-09
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ00616,quzhoushihaizhilvlvxingsheyouxiangongsi,衢州市五环路118号,浙旅许可（2009）616号,徐彦,"徐彦,程伟莲",330000,衢州市海之旅旅行社有限公司,91330800770701743R,2010-12-14
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02439,"Shaoxing Travelers International Tourism Co., Ltd.",绍兴市柯桥区柯桥万和丽都公寓2幢0102室,浙旅许可(2014)67号,龚明法,绍兴市柯桥区中国轻纺城金华商会,330000,绍兴市旅行者国际旅游有限公司,91330621307417687J,2016-08-27
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00782,  无,西湖区塘苗路2号平房一层104室,浙旅许可(2009)782号,王建民,陈桂红/王建民,330000,杭州凯宾国际旅行社有限公司,913301067936518655,2013-12-20
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00301,ningbo damuwan international agency,象山丹西街道新丰路355号百福大厦815室,浙旅许可(2009)301号,顾新群,"鲍伟伟,顾新群",330000,宁波大目湾国际旅行社有限公司,913302256810690881,2015-03-19
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30361,"wen cheng xiao yao you international travel service co.,ltd.",浙江省温州市文成县大峃镇体育场路白云大楼2号,浙旅许可(2016)159号,周爱芬,"周爱芬,周文静,林芝",330000,文成县逍遥游国际旅游有限公司,91330328MA2863RM02,2016-11-09
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31053,"wenzhou guangdali star international travel service co., ltd.",浙江省温州市鹿城区黎明西路国际贸易中心大楼1201-1号,浙旅许可(2019)163号,蔡建煌,"浙江万达旅游集团有限公司,徐秀一,潘增志",330000,温州光大丽星国际旅行社有限公司,91330302MA2AWGNL6A,2019-09-11
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02334,暂无,浙江省舟山市普陀区东港街道海景时代广场3号楼8层806室,浙旅许可(2013)168号,王港竣,"王港竣,曹永霞",330000,舟山安康旅行社有限公司,91330902080562969Y,2015-07-06
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01000,暂无,绍兴县柯桥笛扬路华联国际商贸城5幢19A-3室,浙旅许可(2009)1000号,成玉土,成玉土/韩锋,330000,绍兴港龙国际旅游有限公司,913306216878518630,2010-12-28
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ01812,"bocheng (hangzhou) tourist co.,ltd.","浙江省杭州市上城区清泰街507,509号富春大厦1805室",浙旅许可(2011)122号,刘磊,"刘磊,赵福春",330000,博程（杭州）旅行社有限公司,91330102577305853G,2012-12-17
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30654,"hangzhou qingtai travel co.,ltd.",浙江省杭州市拱墅区朝晖路182号国都发展大厦1号楼80j,浙旅许可(2018)35号,王方骏,"王磊,王方骏",330000,杭州清泰旅游有限公司,91330104MA2AY5NQ87,2018-02-12
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31911,"hui xiangtravel service co.,ltd",浙江省温州市苍南县灵溪镇站前东西安置区5-2幢110室,浙旅许可(2023)185号,吴松辉,"吴松辉,李求宗",330000,苍南辉祥旅行社有限责任公司,91330327MACK3KAL3D,2023-05-31
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ02199,"lishui quanjing travel agency co., ltd",浙江省丽水市莲都区花园路713号,浙旅许可(2013)33号,王丽慧,"王丽慧,许萍",330000,丽水市荃景旅行社有限公司,913311020620382233,2013-02-01
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32150,"zhejiang xincheng international travel agency co.,ltd.",浙江省杭州市拱墅区环城北路1号华浙广场1号12h室,浙旅许可(2023)426号,张华,杭州振乡文旅发展有限公司,330000,浙江新程国际旅行社有限公司,91330101MA2GMPQK2B,2023-11-30
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ00772,ganghua holiday travel co.ltd,浙江省杭州市江干区闸弄口横路36号闸弄口新村18幢4楼417室,浙旅许可(2009)772号,俞慧萍,"俞慧萍,陈尧庚",330000,杭州港华假日旅行社有限公司,91330104788257126D,2009-08-24
境内旅游业务,浙江省文化和旅游厅,有效,浙文旅（温）许准字〔2023〕第034号,"wenzhou yuanyou tourism. ,ltd",温州市鹿程区滨江街道恒源路红日花园1栋102-1,浙旅许可(2023)150号,余慧,"余慧,余锦华",330000,温州远游旅游有限公司,91330302MACFE13M0Y,2023-05-10
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01843,"Hangzhou Qiandaolake Beer Travel Service Co., Ltd.",淳安县千岛湖镇睦州大道595、599号201室,浙旅许可(2011)153号,郑名传,杭州千峰投资有限公司/郑晓峰/余爱平/鲁栋梁/毕良忠/郑名传/郑金花/余文贤/郑启基/徐高红/杨祥根/姜九江/章霞/郑丙扬/吴晓伟/汪美菊/徐驾挺/唐花莲/童顺养/余公平/王鸿军/胡仙宜/商觉琴/黄立法/周明亮/杨艳/郑名善,330000,杭州千岛湖啤酒旅行社有限公司,91330127580266998T,2015-03-25
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ31865,"zhejiang huayu travel service co., ltd",浙江省宁波市海曙区望春工业园区聚才路799号3号楼3004-1室,浙旅许可(2023)139号,华君梦,"华君梦,游超彬",330000,浙江华游旅行社有限公司,91330212MA2J730K81,2023-05-05
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ00689,"pingyang youth international travel service co., ltd.",浙江省温州市平阳县鳌江镇天元公寓b幢营业房14号,浙旅许可(2009)689号,张雯雯,张雯雯,330000,平阳青年国际旅行社有限公司,9133032666515272X4,2017-07-14
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30170,"Deqing Hong De Tourism Co., Ltd. DQHD",德清县武康镇五里牌路70号401室,浙旅许可(2015)156号,郭梅花,郭梅花/郭茂岷,330000,德清宏德旅游有限公司,913305213553690690,2015-10-16
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01678,暂无,西湖区留和路135号UN公社6幢310室,浙旅许可(2010)200号,王晓虹,王晓虹/王桃令,330000,杭州金诺旅行社有限公司,91330106566078165M,2014-03-19
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,浙文旅（2） 许准字〔2023〕第 043 号,ning hai suiyuan cuitural co.ltd,宁海县跃龙街道山河路18-1,浙旅许可(2023)204号,金展飞,金展飞,330000,宁海县随缘旅游有限公司,91330226MA28236J02,2023-06-16
国内旅游业务,浙江省旅游局,有效,L-ZJ30447,Kaihua xinyuan travel agency co.ltd,开化县芹阳办事处芹南路42号28,浙旅许可(2017)63号,徐馨美,方旭/徐馨美/余洁,330000,开化信缘旅行社有限公司,91330824MA28FC643L,2017-03-30
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01705,Xinchang County Overseas International Travel Service Co. Ltd.,南明街道大桥路5号,浙旅许可(2011)15号,王月霞,王月霞/王永方,330000,新昌县海外国际旅行社有限公司,91330624569355738Y,2015-03-20
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01008,暂无, 安吉县职业教育中心学校门口,浙旅许可(2009)1008号,童少飞,安吉县教育发展有限公司/安吉县职业教育中心学校,330000,安吉绿园旅行社有限公司,91330523766417854W,2009-08-24
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00337,暂无,萧山区人民路180号,浙旅许可(2009)337号,王子凤,王子凤/张长云,330000,杭州萧山商务旅游有限公司,91330109670626643P,2014-11-04
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00513,暂无,台州市黄岩区青年东路69号,浙旅许可(2009)513号,董拓,董拓/孙亚萍,330000,台州春秋旅游发展有限公司,91331003722778498N,2009-08-04
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ02338,"wenzhou guangtong  international travel service co., ltd",浙江省温州市万源路金星花苑7幢104东首,浙旅许可(2013)172号,张斌,"张斌,程淑敏",330000,温州广通国际旅游有限公司,91330302080563814W,2016-05-17
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01299,"lanxi hand in hand travel agency co.,ltd",浙江省金华市兰溪市云山街道同庆街1号（自主申报）,浙旅许可（2009）1297号,徐健庆,"徐健庆,徐正宝",330000,兰溪市手拉手旅行社有限公司,9133078166919664XE,2013-05-20
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31860,quzhou xin century international travel agency,衢州市柯城区信安街道新安路108号,浙旅许可(2023)134号,刘悦,"刘悦,吴飞,浙江鑫世纪国际旅行社有限公司",330000,衢州鑫世纪国际旅行社有限公司,91330802MACFM9U752,2023-04-27
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31936,"zhoushan lantian travel agency co., ltd.",浙江省舟山市普陀区东港街道海天大道2741号港汇广场1406,浙旅许可(2023)210号,刘意,"刘意,杜福良",330000,舟山澜天旅行社有限公司,91330903MACNFUCY87,2023-06-20
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30540,longquanqidian,浙江省丽水市龙泉市龙渊街道环城东路105号（体育馆北门）,浙旅许可(2017)156号,吴希玮,龙泉市旅游投资发展股份有限公司,330000,龙泉市起点旅游文化发展有限公司,91331181MA28JLRHX9,2017-07-18
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30029,"Jiaxing Hehong Travel Service Co.,Ltd.",嘉兴市中山东路10号1幢3楼,浙旅许可(2015)15号,徐敏,嘉兴市南湖区保安服务有限公司,330000,嘉兴市禾鸿旅游有限公司,91330402325548146W,2017-12-19
国内旅游业务,浙江省旅游局,有效,L-ZJ30468,"Mountain tourism development co., LTD",江山市双塔街道北关路18号,浙旅许可(2017)84号,郑武土,江山市国有资产经营公司,330000,江山旅游发展有限公司,913308817570620512,2017-05-05
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32208,jinhua lok mouse travel services limited,浙江省金华市婺城区三江街道南市小区43幢五单元一楼101,浙旅许可(2024)13号,袁赫东,"袁赫东,程五海",330000,金华乐小鼠旅游服务有限公司,91330701MAD75X4778,2024-01-11
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30368,ZHEJIANGYINGTINGLVXINGSHEYOUXIANGONGSI,三门县海游街道梧桐路19号B座613座,浙旅许可(2016)166号,冯英婷,冯英婷/毛雪萍,330000,浙江音汀旅行社有限公司,91331022MA28GP7K11,2016-11-30
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02469,hangzhou four seasons international travel agency co.，ltd.,浙江省杭州市江干区机场路135号709室,浙旅许可(2014)97号,赵延波,"赵延波,马健",330000,杭州春夏秋冬国际旅行社有限公司,913301063113149046,2014-11-26
国内旅游业务、入境旅游业务,浙江省旅游局,注销,L-ZJ00561,暂无,瑞安市玉海办事处瑞湖路83号,浙旅许可(2009)561号,张存弟,瑞安市长途汽车运输公司,330000,瑞安市长运国际旅行社有限公司,91330381770718991Y,2014-05-09
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30405,Chun’an Qiandao Lake Hongtu Travel agency,淳安千岛湖镇梦姑路376号（秀水街B6二层）,浙旅许可(2017)21号,钱璐琪,钱九鸿/徐晶,330000,淳安千岛湖鸿途旅行社有限公司,913301273218767839,2017-01-18
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30851,"zhejiang xiaoyao wuzhou travel service co.,ltd.",浙江省杭州市拱墅区湖州街567号北城天地商业中心10幢1423室,浙旅许可(2018)232号,徐郭伟,"徐郭伟,陈月",330000,浙江逍遥五洲旅行社有限公司,91330105MA2CEFNQ87,2018-10-19
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00306,暂无,宁海县跃龙街道学勉路101号,浙旅许可(2009)306号,应锦强,宁海县公路运输有限公司/应锦强/陈令龙/郑明宝/林朱利/杨大木/胡方丁/王有振/严声奎/章世杰,330000,宁海县交通旅行社,91330226717211913J,2009-07-20
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ31490,"zhejiang xingyao international travel co., ltd.",浙江省杭州市西湖区天际大厦1505室-2,浙旅许可(2021)174号,朱晓琴,"朱晓琴,蔡元,陈益民",330000,浙江星耀国际旅行有限公司,91330106MA2KFB334L,2021-10-27
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ02364,"zhejiang universe international travel service co.,ltd",江北区慈城镇走马街广场26号021幢316室,浙旅许可(2013)198号,陈征宇,宁波寰宇信息技术有限公司,330000,浙江寰宇旅业有限公司,91330205084764947A,2016-09-05
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30804,"Columbus Travel Service （Hangzhou）Co.,Ltd.",浙江省杭州市滨江区长河街道江南大道618号东冠大厦1205室,浙旅许可(2018)185号,叶晨曦,谛听网络技术（杭州）有限公司,330000,哥伦布旅行社（杭州）有限公司,91330108MA2B23R87R,2018-08-15
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ02505,暂无,嘉兴市南湖区中环南路与花园路交叉口体育中心西区五楼506室、507室、508室,浙旅许可(2014)133号,徐飞,暂无,330000,嘉兴在路上旅行社有限公司,91330402307748814Q,2014-11-27
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ30118,anji  hechi  travel co.，ltd,浙江省湖州市安吉县昌硕街道天荒坪南路99号安吉商会大厦1幢2单元1901室2102号（自主申报）,浙旅许可（2015）104号,陈燕,"陈燕,应月萍",330000,安吉和驰旅行社有限公司,913305233439901145,2015-09-06
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ30656,"hangzhou dream way travel co., ltd.",浙江省杭州市上城区清泰街346号1303室,浙旅许可(2018)37号,应伟军,"应伟军,陈建勇,应哲琳,严静",330000,杭州梦途旅游有限公司,91330102MA28UJM03X,2018-02-12
,浙江省文化和旅游厅,有效,L-ZJ31734,taizhou youyou international travel service co.ltd,浙江省台州市仙居县安洲街道庆和路133号,浙旅许可(2023)8号,罗薇,"丁秀媚,吴珺,罗薇",330000,台州市悠游国际旅行社有限公司,91331024MA2K7KFP19,2023-01-17
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00172,暂无,萧山区江寺公园北大门秋声居,浙旅许可(2009)172号,姜燕红,姜燕红/韩首荣,330000,杭州航海商务旅行社有限公司,91330109793662388E,2009-07-10
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01732,暂无,鄞州区首南街道前河南路88号1204室,浙旅许可(2011)42号,曹蓓,曹蓓,330000,宁波国际合作旅行社有限公司,91330212570511224P,2011-03-04
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30774,"hangzhou junchen travel agency co.,ltd.",浙江省杭州市钱塘区河庄街道河庄路1084、1086号（自主申报）,浙旅许可(2018)155号,高波,"庄国萍,高波",330000,杭州俊宸旅行社有限公司,91330109MA2B10RF0C,2018-06-28
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ32138,taizhou grand tai ming on travel services limited,浙江省台州市三门县海游街道金茂大厦b幢1417室（自主申报）,浙旅许可(2023)414号,李忠漂,李忠漂,330000,台州君泰明安旅游服务有限公司,91331022MAD187UEXL,2023-11-10
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00058,暂无,富阳市富春街道迎宾路91号,浙旅许可(2009)58号,罗承碧,杭州旅游集散中心有限公司/浙江东南汽运股份有限公司,330000,杭州富阳旅游集散中心有限公司,91330183689050189D,2009-06-26
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ31717,"hangzhou jinchen tourism co.,ltd.",浙江省杭州市余杭区瓶窑镇大桥南路93-2号,浙旅许可(2022)210号,胡宝国,"胡宝国,蔡华",330000,杭州锦辰旅业有限公司,91330110MA7KHQ1K1M,2022-12-07
境内旅游业务,浙江省文化和旅游厅,有效,L-ZJ32004,zhuji qichen travel agency limited,浙江省绍兴市诸暨市陶朱街道艮塔西路109号诸暨2025创意产业园a座6楼a605室,浙旅许可(2023)279号,黄俊皓,浙江贰零贰伍文化传播有限公司,330000,诸暨启辰旅行社有限公司,91330681MACLPNHK9F,2023-07-11
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ30021,"ningbo new channel international travel co.,ltd",浙江省宁波市鄞州区中河街道天童北路933号和邦大厦a座1009室,浙旅许可（2015）7号,茅建辉,"茅建辉,凌文珠",330000,宁波新航道国际旅行社有限公司,91330212316819610L,2015-01-09
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ02079,"wenzhou journey international travel service co., ltd",浙江省温州市鹿城区南汇街道新城大道发展大厦1103室-1,浙旅许可(2012)134号,陈慈,"林嶂,吴红芙,陈慈,林胜聪",330000,温州征途国际旅行社有限公司,91330302051349798J,2016-11-28
"境内旅游业务,入境旅游业务",浙江省文化和旅游厅,注销,L-ZJ31659,golden holiday international travel service (zhoushan) limited,浙江省舟山市定海区城东街道伴云路66号b幢2楼211室02工位,浙旅许可(2022)152号,费小玉,费小玉,330000,金色假期国际旅行社（舟山市）有限公司,91330902MABUMMF18M,2022-08-17
"国内旅游业务,入境旅游业务",浙江省文化和旅游厅,有效,L-ZJ30999,"hangzhou jiuzhou travel service co.,ltd.",浙江省杭州市桐庐县县城下杭路238号,浙旅许可(2019)109号,皇甫增华,"皇甫增华,周樟琴",330000,杭州九州旅行社有限公司,91330122MA2GKD4A7M,2019-05-24
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00525,暂无,嘉善谈公北路1号,浙旅许可(2009)525号,张明华,张明华/董兴林/高凤飞,330000,嘉善四季旅行社有限公司,91330421MA2GBQQYXJ,2009-08-04
国内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01114,暂无,浙江省余姚市玉立路41号,浙旅许可(2009)1112号,黄鑫,黄鑫,330000,余姚市新时代旅行社有限公司,913302816620558604,2013-01-30
"国内旅游业务,入境旅游业务",浙江省旅游局,有效,L-ZJ00107,ZHUJI YODODO TRAVEL AGENCY CO.LTD.,浙江省诸暨市暨阳街道艮塔东路55号,浙旅许可(2009)107号,吴笑笑,"吴笑笑,钱峰",330000,诸暨游多多旅行社有限公司,91330681MA2BFYYG27,2018-11-15
境内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01591,"hangzhou dongsheng travel service co.,ltd.",浙江省杭州市下城区武林路464号,浙旅许可(2010)113号,邓小春,"邓小春,金建忠",330000,杭州东升旅行社有限公司,91330104555196967P,2013-06-03
国内旅游业务、入境旅游业务,浙江省文化和旅游厅,有效,L-ZJ01057,"wenzhou yandang mountain international travel service co.,ltd.",浙江省乐清市雁荡山步行街135号（另设分支机构经营场所为：乐清市雁荡镇响岭头村石塘头8号）,浙旅许可(2009)1057号,蔡正业,"蔡正业,蔡雁婵",330000,温州市雁荡山山河国际旅行社,91330382145542599T,2015-11-09
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ30723,"jinyun  xian  yue  tourism  co.,ltd",丽水市缙云县五云街道紫薇苑10幢12号,浙旅许可(2018)104号,陈欣天,"陈豆豆,叶芳华",330000,缙云仙悦旅游有限公司,91331122MA2A1GK57W,2018-04-28
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ00402,暂无,杭州市下城区环城北路10号1305,浙旅许可(2009)402号,吴菊花,吴菊花/吴彦鑫,330000,杭州金湖旅行社有限公司,91330103749466355X,2012-08-20
国内旅游业务,浙江省文化和旅游厅,有效,L-ZJ00611,暂无,浙江省衢州市柯城区白云中大道99号新城吾悦广场1幢233、234号,浙旅许可(2009)611号,周亚云,"周亚云,徐利民",330000,衢州中国旅行社有限责任公司,913308021477378759,2016-07-18
国内旅游业务、入境旅游业务,浙江省旅游局,有效,L-ZJ01173,暂无,舟山市普陀区东港街道乐业市场50号-1网点,浙旅许可(2009)1171号,李贤,方代红/李贤/彭成团,330000,舟山市广岛国际旅行社有限公司,91330903680729734C,2015-07-11
