机构注册资金,机构地址,机构名称,机构批准机关,评估机构代码,机构批准文号,机构法人代表_首席合伙人_,证照类型名称,批准日期
100.0,杭州市湖墅南路260号6楼,浙江中联耀信资产评估有限公司,浙江省财政厅,33040015,浙财会字[2004]21号,邬崇国,资产评估执业证书,2004-03-17
50.0,温州市车站大道金润花苑1号1904室,温州兄弟资产评估有限公司,浙江省国有资产管理局,33020077,浙国资评（2000）80号,杨小云,资产评估执业证书,2000-01-20
10.0,龙游县太平东路90号,龙游正信资产评估事务所,浙江省财政厅,33020144,浙财会字[2001]99号,兰海滨,资产评估执业证书,2001-12-31
60.0,新昌县七星街道十九峰路99号,新昌信安达资产评估有限公司,浙江省国有资产管理局,33020141,浙国资评[2000]52号,李颖,资产评估执业证书,2000-01-07
10.0,金华市八一北街955号,金华金联资产评估事务所,浙江省财政厅,33070008,浙财会字[2007]45号,李剑忠,资产评估执业证书,2007-07-20
200.0,海宁市海洲街道海昌南路345号705室-1,浙江凯达信资产评估有限责任公司,浙江省财政厅,33020149,浙财会字[2002]33号,李枫,资产评估执业证书,2002-07-04
30.0,绍兴市二环北路88号,绍兴通大资产评估有限公司,浙江省财政厅,33150002,浙财企【2015】62号,孙兴忠,资产评估执业证书,2015-05-05
30.0,德清县武康镇永安街250号,湖州振新资产评估有限公司,浙江省财政厅,33020095,浙财会字（2001）99号,姚颖,资产评估执业证书,2001-12-31
30.0,温岭市太平街道锦屏路28号锦屏大厦13楼,台州兴元资产评估有限公司,浙江省财政厅,33080011,浙财会字[2008]59号,朱旭辉,资产评估执业证书,2008-06-11
30.0,开化县城关镇解放街77号,衢州源正江浩资产评估有限公司,浙江省国有资产管理局,33020068,浙国资评（2000）34号,汪衍旺,资产评估执业证书,2000-01-12
200.0,杭州市上城区太和广场8号408室,浙江荣成资产评估有限公司,浙江省财政厅,33050006,浙财会字[2005]87号,王黎霞,资产评估执业证书,2005-12-14
100.0,杭州市文三路20号1号楼建工大厦1601室,浙江普阳资产评估有限公司,浙江省财政厅,33070009,浙财会字[2007]57号,徐剑平,资产评估执业证书,2007-09-12
50.0,杭州市上城区惠兴路11号,浙江正大资产评估有限公司,浙江省国有资产管理局,33020009,浙国资评（2000）139号,叶路,资产评估执业证书,2000-03-20
