学年,院校(英文),院校(中文),学科级别(英文),学科级别(中文),课程类别(英文),课程类别(中文),课程名称(英文),课程名称(中文),学习范畴(英文),学习范畴(中文),一般修业期
2023/24,Hong Kong Art School (a division of Hong Kong Arts Centre),香港艺术学院 (香港艺术中心附属机构),Top-up Degree,衔接学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts (Fine Art) - Year 2 Entry,艺术文学士 - 二年级,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸会大学电影学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Creative Film Production (Acting Techniques Specialization),创意电影制作高级文凭 (专业范围：表演技巧),"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸会大学电影学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Creative Film Production (Art Direction Specialization),创意电影制作高级文凭（专业范围︰美术指导）,"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸会大学电影学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Creative Film Production (Cinematography and Lighting Specialization),创意电影制作高级文凭 (专业范围：电影摄影与灯光),"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸会大学电影学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Creative Film Production (Directing Specialization),创意电影制作高级文凭 (专业范围﹕导演),"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸会大学电影学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Creative Film Production (Editing and Sound Mixing Specialization),创意电影制作高级文凭 (专业范围：剪接与混音),"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸会大学电影学院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Creative Film Production (Script Writing Specialization),创意电影制作高级文凭 (专业范围：编剧),"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Applied Social Service),文学副学士(应用社会服务),Social Sciences,社会科学,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Business Administration),文学副学士(工商管理),Business and Management,商业及管理,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Chinese for Professional Purposes),文学副学士(专业中文),Languages and Related Studies,语言及相关科目,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Creative Communication),文学副学士(传理学),"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Cultural Studies),文学副学士(文化研究),Humanities,人文科学,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,"Associate of Arts (Film, Television and Digital Media Studies)",文学副学士(电影、电视及数码媒体学),"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Financial Management),文学副学士(财务管理),Business and Management,商业及管理,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (History and Hong Kong Studies),文学副学士(历史及香港研究),Humanities,人文科学,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Journalism),文学副学士(新闻学),"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Marketing),文学副学士(市场学),Business and Management,商业及管理,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Media Communication),文学副学士(媒体传播),"Mass Media and Communications, Journalism and Public Relations",大众传媒及传播、新闻及公共关系,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Music Studies),文学副学士(音乐学),"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Practical Philosophy),文学副学士（实践哲学）,Humanities,人文科学,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Professional Communication and English Studies),文学副学士（专业传意及英语研究）,Languages and Related Studies,语言及相关科目,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸会大学国际学院,Sub-degree,副学位,Associate Degree,副学士学位课程,Associate of Arts (Tourism and Hospitality Management),文学副学士(旅游及款待业管理),Services,服务,2
