序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
593,603121,华培动力,7.65,2.27,0.17,96268.0,73709867.0,7.49,7.94,7.38,7.48,7.48,0.84,2.84,20.12,2.14,2589782920.0,2589782920.0,-0.13,-0.26,-16.58,-29.62
594,600336,澳柯玛,4.95,2.27,0.11,168816.0,83155789.0,5.79,5.03,4.75,4.85,4.84,0.72,2.12,27.34,1.56,3950173107.0,3950173107.0,0.0,0.0,-14.06,-17.91
595,300354,东华测试,42.48,2.26,0.94,38167.0,160647921.0,10.78,44.05,39.57,41.02,41.54,1.64,4.77,53.74,8.53,5875842138.0,3396980403.0,0.28,0.26,-7.47,-14.48
596,600690,海尔智家,28.48,2.26,0.63,322788.0,917756518.0,3.73,28.8,27.76,27.77,27.85,1.01,0.51,16.2,2.6,268797512153.0,179667579586.0,0.0,0.11,31.55,35.62
597,2021,*ST中捷,1.81,2.26,0.04,273633.0,49601867.39,2.82,1.84,1.79,1.79,1.77,1.2,2.27,-156.37,-32.4,2181795400.0,2181724028.0,0.0,-0.55,-10.4,-31.95
598,2576,通达动力,13.13,2.26,0.29,43140.0,56580703.0,5.3,13.38,12.7,12.84,12.84,1.04,2.66,24.63,1.81,2167763000.0,2125783383.0,-0.15,-0.23,-20.47,-23.04
599,301368,丰立智能,38.5,2.26,0.85,72452.0,278233892.59,8.55,39.8,36.58,37.59,37.65,1.21,11.3,117.13,4.74,4623850000.0,2468675440.0,-0.03,-0.21,3.58,-18.33
600,603233,大参林,22.27,2.25,0.49,95798.0,212997001.0,3.4,22.47,21.73,21.89,21.78,1.19,0.84,16.2,3.82,25362094897.0,25362094897.0,0.04,-0.22,-11.91,-10.56
601,605333,沪光股份,23.65,2.25,0.52,27861.0,65849166.0,5.1,23.95,22.77,23.1,23.13,1.17,0.64,-341.08,7.05,10329754316.0,10329754316.0,-0.17,-0.08,15.87,18.84
602,301096,百诚医药,73.41,2.24,1.61,12750.0,94127305.0,4.82,74.92,71.46,71.88,71.8,0.88,1.84,29.76,3.07,7995810079.0,5088774079.0,-0.04,0.04,3.25,12.76
603,603530,神马电力,19.62,2.24,0.43,105163.0,209089407.0,9.8,21.03,19.15,19.2,19.19,0.97,2.45,53.54,5.15,8481006476.0,8436238246.0,-0.15,-0.36,-5.9,-5.4
604,2006,精工科技,13.24,2.24,0.29,78958.0,104516540.89,6.8,13.59,12.71,12.88,12.95,1.33,1.73,31.69,4.48,6026318400.0,6026318400.0,0.38,0.15,-4.95,-13.35
605,688789,宏华数科,114.68,2.23,2.5,7769.0,89699068.0,6.53,117.5,110.18,112.03,112.18,0.88,1.1,41.47,4.84,13811730756.0,8132749060.0,-0.01,-0.44,18.48,14.78
606,688138,清溢光电,16.55,2.22,0.36,22266.0,36705505.0,6.49,16.85,15.8,16.18,16.19,0.97,0.83,32.71,3.19,4415540000.0,4415540000.0,-0.12,-0.42,-17.58,-26.83
